Sector,Land Type,Size (Acres),Dist to Beach (km),Owner,Patta
Pulicat,industrial,4.38,0.3,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.81,3.74,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,700.42,0.13,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,63.27,0.03,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,6.65,0.83,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,2.68,5.63,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,other,227.73,0.14,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,other,42.15,0.07,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,3.4,4.66,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.51,3.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.98,1.74,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,5.17,3.57,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,13.01,3.47,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.42,3.07,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,1.43,2.98,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,4.49,3.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,9.9,3.58,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.47,3.69,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7,1.76,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,16.65,3.09,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.38,3.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,9.58,1.74,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,7.27,1.82,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.46,1.9,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,0.4,3.72,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,6.12,4.22,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,9.4,4.42,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,7.54,4.95,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,15.45,2.73,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,332.06,7.97,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,3.63,0.51,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,11.11,0.35,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,residential,6.08,2.28,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,commercial,4.75,2.05,"Restricted (Requires TN Nilam Auth)",Restricted
Chennai,industrial,2.7,2.62,"Restricted (Requires TN Nilam Auth)",Restricted
